ZCTA5 10911,-,**
ZCTA5 10913,150620,16986
ZCTA5 10914,135708,34491
ZCTA5 10915,N,N
ZCTA5 10916,118141,12700
ZCTA5 10917,126733,26264
ZCTA5 10918,100891,8179
ZCTA5 10919,105027,18879
ZCTA5 10920,118215,9260
ZCTA5 10921,91748,8747
ZCTA5 10922,98746,15695
ZCTA5 10923,103084,7488
ZCTA5 10924,105360,8623
ZCTA5 10925,95495,15555
ZCTA5 10926,83639,9642
ZCTA5 10927,83027,9897
ZCTA5 10928,77695,7324
ZCTA5 10930,131975,10322
ZCTA5 10931,92846,12632
ZCTA5 10932,N,N
ZCTA5 10933,86687,29050
ZCTA5 10940,72680,2873
ZCTA5 10941,83154,4926
ZCTA5 10950,92539,4360
ZCTA5 10952,78931,4332
ZCTA5 10953,106129,18206
ZCTA5 10954,108607,5810
ZCTA5 10956,145356,6829
ZCTA5 10958,101085,11808
ZCTA5 10960,113866,8515
ZCTA5 10962,121325,12560
ZCTA5 10963,80691,9674
ZCTA5 10964,148789,39089
ZCTA5 10965,116580,7831
ZCTA5 10968,142057,32040
ZCTA5 10969,109759,34036
ZCTA5 10970,101194,6521
ZCTA5 10973,104072,17985
ZCTA5 10974,108768,18243
ZCTA5 10975,123299,78591
ZCTA5 10976,78082,20771
ZCTA5 10977,83539,6649
ZCTA5 10979,69671,5018
ZCTA5 10980,114288,6992
ZCTA5 10983,140795,17978
ZCTA5 10984,127317,14270
ZCTA5 10985,N,N
ZCTA5 10986,141808,28489
ZCTA5 10987,125719,13573
ZCTA5 10988,73196,13822
ZCTA5 10989,113249,7832
ZCTA5 10990,114440,10561
ZCTA5 10992,97455,11892
ZCTA5 10993,82429,16677
ZCTA5 10994,138781,14079
ZCTA5 10996,125064,25434
ZCTA5 10998,105913,13566
ZCTA5 11001,119250,5415
ZCTA5 11003,100315,4895
ZCTA5 11004,95851,8072
ZCTA5 11005,92034,16325
ZCTA5 11010,105355,5221
ZCTA5 11020,186934,27393
ZCTA5 11021,140662,8511
ZCTA5 11023,148945,13644
ZCTA5 11024,153903,23249
ZCTA5 11030,253666,18556
ZCTA5 11040,120751,4395
ZCTA5 11042,-,**
ZCTA5 11050,167050,9346
ZCTA5 11096,65007,6059
ZCTA5 11101,73313,4292
ZCTA5 11102,68309,3264
ZCTA5 11103,72396,3177
ZCTA5 11104,71040,4250
ZCTA5 11105,75740,3302
ZCTA5 11106,68551,3317
ZCTA5 11109,164048,19275
ZCTA5 11201,151787,6132
ZCTA5 11203,60629,2144
ZCTA5 11204,63616,2259
ZCTA5 11205,73083,3835
ZCTA5 11206,47277,2431
