GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC20,HC01_MOE_VC20,HC02_EST_VC20,HC02_MOE_VC20,HC01_EST_VC22,HC01_MOE_VC22,HC02_EST_VC22,HC02_MOE_VC22,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC30,HC01_MOE_VC30,HC02_EST_VC30,HC02_MOE_VC30,HC01_EST_VC31,HC01_MOE_VC31,HC02_EST_VC31,HC02_MOE_VC31,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36
8600000US11930,11930,ZCTA5 11930,628,138,131475,31987,65.6,8.9,119130,37042,39.6,10.2,64103,30447,54.5,9.8,22813,2482,0.5,0.9,8533,59,0.0,4.7,-,**,30.7,12.2,47445,12298,377,97,166781,47185,27.9,10.9,N,N,25.7,10.9,N,N,37.7,11.7,N,N,1.6,1.8,N,N,4.8,5.0,N,N,2.4,4.1,N,N,1565,370,54208,12664,97.7,2.2,55141,13014,1.9,2.1,14786,1577,0.0,1.9,-,**,0.4,0.7,N,N,0.0,1.9,-,**,0.0,1.9,-,**,0.0,1.9,-,**,4.2,5.3,36067,7821,93.5,5.6,56001,13657,64.5,(X),(X),(X),68.2,(X),(X),(X),59.7,(X),(X),(X)
8600000US11931,11931,ZCTA5 11931,18,28,N,N,100.0,67.2,N,N,100.0,67.2,N,N,0.0,67.2,N,N,0.0,67.2,N,N,0.0,67.2,N,N,0.0,67.2,N,N,18,28,N,N,0.0,67.2,N,N,0.0,67.2,N,N,100.0,67.2,N,N,0.0,67.2,N,N,0.0,67.2,N,N,0.0,67.2,N,N,36,56,N,N,100.0,47.5,N,N,0.0,47.5,-,**,0.0,47.5,-,**,0.0,47.5,-,**,0.0,47.5,-,**,0.0,47.5,-,**,0.0,47.5,-,**,0.0,47.5,-,**,100.0,47.5,N,N,100.0,(X),(X),(X),100.0,(X),(X),(X),100.0,(X),(X),(X)
8600000US11932,11932,ZCTA5 11932,445,103,134393,45711,67.2,11.0,79601,22128,51.5,10.4,107448,75611,52.8,12.3,21040,3290,0.0,6.5,-,**,0.0,6.5,-,**,32.8,10.3,36377,12393,279,89,125411,33280,25.4,11.4,N,N,30.5,11.9,N,N,27.2,13.0,N,N,5.7,6.4,N,N,7.5,7.1,N,N,3.6,6.2,N,N,1008,299,60647,22631,96.5,2.7,61782,23564,2.6,2.3,39142,35184,0.0,2.9,-,**,0.9,1.6,N,N,0.0,2.9,-,**,0.0,2.9,-,**,0.0,2.9,-,**,21.3,11.9,25625,21749,75.2,12.5,72038,26941,60.4,(X),(X),(X),62.7,(X),(X),(X),48.8,(X),(X),(X)
8600000US11933,11933,ZCTA5 11933,2717,236,82955,8985,64.9,6.0,95034,12409,26.9,5.6,9294,5018,48.0,6.0,19200,1444,3.6,2.1,11090,5178,0.6,0.9,213,15,25.6,5.0,24927,5724,1605,227,108474,13957,23.3,6.9,55054,9673,24.9,7.6,84643,20622,26.6,7.1,141640,23864,10.1,5.7,123514,104701,10.0,6.7,176311,44728,5.0,3.1,133068,50215,6358,682,35804,3425,87.5,4.2,37777,3718,8.2,3.1,16681,7324,0.0,0.5,-,**,1.7,1.3,71363,48566,0.0,0.5,-,**,0.0,0.5,-,**,2.6,2.3,6119,5955,6.0,2.7,16628,2679,82.5,4.6,38954,3951,35.6,(X),(X),(X),34.3,(X),(X),(X),26.6,(X),(X),(X)
8600000US11934,11934,ZCTA5 11934,2564,150,94919,10607,81.3,6.2,93324,12192,21.7,5.6,5572,2233,32.7,6.4,16992,2359,4.4,2.3,11177,4015,0.9,1.1,2474,2314,21.3,5.0,45508,11015,1969,170,105884,11717,10.0,4.9,60214,21493,38.0,6.8,84324,14889,28.9,6.8,127051,15996,8.3,4.0,76605,18450,11.0,5.9,183542,31131,3.7,2.8,119703,62300,7929,554,31631,3013,96.2,2.5,32290,3218,1.2,1.3,18300,17989,0.0,0.4,-,**,0.9,1.1,12662,4604,0.0,0.4,-,**,1.0,1.6,18132,6202,0.7,0.6,N,N,8.7,3.5,14782,4894,89.4,3.8,33567,3229,43.9,(X),(X),(X),47.2,(X),(X),(X),33.4,(X),(X),(X)
8600000US11935,11935,ZCTA5 11935,1282,177,105911,17580,72.5,6.9,109815,21670,37.7,7.1,15493,6493,47.0,6.6,22640,2272,1.6,1.9,8370,476,2.6,3.1,1521,1953,31.0,7.9,27433,6660,1035,171,110972,21091,25.8,8.2,N,N,24.3,8.3,N,N,30.3,9.0,N,N,4.6,4.6,N,N,10.7,5.2,N,N,4.3,4.6,N,N,3263,426,42508,6955,93.3,6.2,44205,7388,4.6,4.9,18803,3586,0.0,0.9,-,**,1.8,2.5,15488,5377,0.3,0.5,N,N,0.0,0.9,-,**,0.0,0.9,-,**,1.6,1.6,31567,10241,92.0,6.2,44412,7482,35.9,(X),(X),(X),39.3,(X),(X),(X),22.7,(X),(X),(X)
8600000US11937,11937,ZCTA5 11937,6327,317,126382,12210,75.7,3.3,116257,12057,37.2,3.9,42518,9873,37.2,3.6,22283,1467,1.9,1.0,13892,6094,1.8,1.1,4571,2505,21.8,3.3,53890,9579,4030,255,148553,16522,16.4,2.7,108720,21413,27.2,4.8,134821,29327,37.7,5.9,158491,28877,7.5,3.0,142996,77817,8.0,2.7,252800,87981,3.2,2.0,103355,12579,15446,638,52494,4554,90.7,3.6,55506,5260,2.3,1.5,39933,10185,1.1,1.1,N,N,2.9,2.9,24038,17244,0.0,0.2,-,**,2.4,2.1,17048,9216,0.5,0.4,11397,12682,23.8,4.9,19742,4269,69.4,4.8,66198,6110,47.2,(X),(X),(X),47.4,(X),(X),(X),37.8,(X),(X),(X)
8600000US11939,11939,ZCTA5 11939,450,83,93696,15580,58.7,10.4,98925,18268,52.0,10.4,15738,9018,58.9,8.8,19998,2156,8.0,6.2,15292,5582,0.0,6.4,-,**,43.3,10.1,30277,10283,272,60,107405,14052,29.8,8.9,N,N,29.0,8.2,N,N,20.6,8.8,N,N,12.5,8.9,N,N,2.2,3.7,N,N,5.9,4.9,N,N,932,186,46237,7232,93.1,4.8,46912,5832,0.0,3.2,-,**,0.0,3.2,-,**,0.3,0.6,N,N,2.5,3.7,-,**,1.0,1.4,-,**,3.1,2.6,28279,33073,7.0,5.0,43091,40450,89.6,5.6,45411,6071,28.2,(X),(X),(X),31.3,(X),(X),(X),25.8,(X),(X),(X)
8600000US11940,11940,ZCTA5 11940,1892,152,107584,11886,77.6,4.8,114327,14136,25.5,6.3,6963,7090,33.5,6.1,17958,2768,2.7,2.9,13647,4828,0.0,1.6,-,**,21.7,5.1,43573,12569,1362,158,119441,13404,10.4,4.6,52066,10657,27.9,8.8,109520,27419,38.8,8.7,144693,22582,12.5,4.2,96908,14711,8.2,3.5,155545,20956,2.2,2.2,112473,21895,4982,387,41297,4733,96.5,2.2,41226,4671,2.3,1.9,52953,43017,0.1,0.2,N,N,0.4,0.5,46177,53798,0.0,0.6,-,**,0.1,0.2,N,N,0.5,0.7,11381,7293,6.2,3.6,35828,18002,90.7,4.7,41503,4755,45.6,(X),(X),(X),40.2,(X),(X),(X),35.2,(X),(X),(X)
8600000US11941,11941,ZCTA5 11941,764,126,108396,19780,78.3,7.8,104427,26884,27.7,9.7,21920,13863,43.8,7.8,21199,2606,2.4,2.7,11578,2641,0.0,3.8,-,**,29.3,8.6,34666,11563,563,105,113391,24630,9.9,8.0,N,N,44.9,13.4,N,N,27.9,12.2,N,N,5.2,4.4,N,N,10.1,6.8,N,N,2.0,2.9,N,N,1929,339,43775,9384,97.4,2.3,44046,9622,0.0,1.5,-,**,0.0,1.5,-,**,0.7,1.0,N,N,0.0,1.5,-,**,0.5,1.0,N,N,1.5,1.9,N,N,14.4,11.9,6840,3672,84.9,11.9,49973,9485,35.7,(X),(X),(X),40.7,(X),(X),(X),28.2,(X),(X),(X)
8600000US11942,11942,ZCTA5 11942,1597,188,113066,15882,77.3,5.2,116815,17622,31.5,5.9,19503,11502,39.3,5.2,21713,1979,0.9,1.1,9721,45,2.4,3.1,7876,3278,18.4,5.5,35338,9047,1141,169,132295,20915,16.0,5.7,47902,12505,30.6,8.2,93595,14893,39.4,8.1,181947,39469,5.3,3.6,105388,32439,8.8,4.1,213662,67719,0.0,2.6,-,**,4092,518,44668,6043,94.6,3.9,45859,6688,0.2,0.3,N,N,0.5,0.8,N,N,0.3,0.4,N,N,0.0,0.7,-,**,2.0,2.9,N,N,2.5,2.4,13002,4605,4.5,3.5,36922,24013,92.0,4.2,45491,6720,43.5,(X),(X),(X),43.2,(X),(X),(X),31.0,(X),(X),(X)
8600000US11944,11944,ZCTA5 11944,1851,168,89930,11414,64.9,5.6,81691,12725,35.1,5.9,36893,9917,47.8,5.8,18844,2239,5.4,2.9,10080,3440,2.8,2.4,2917,3089,26.7,5.1,44374,13567,964,125,116573,19494,24.7,7.3,N,N,35.2,7.3,N,N,18.8,6.4,N,N,15.9,6.1,N,N,4.8,2.7,N,N,0.7,1.0,N,N,4338,390,39519,5117,85.4,6.0,43708,6114,6.3,3.0,25269,11459,0.0,0.7,-,**,0.0,0.1,N,N,0.0,0.7,-,**,6.5,5.8,7644,2848,1.7,1.4,N,N,19.6,7.3,16838,6688,72.3,6.8,47766,5999,31.0,(X),(X),(X),31.0,(X),(X),(X),26.0,(X),(X),(X)
8600000US11946,11946,ZCTA5 11946,5326,333,87768,7187,74.5,3.7,89056,8656,25.5,3.6,18012,8119,35.0,3.8,21505,1243,3.7,1.7,11671,3939,1.0,0.9,4426,2384,20.8,3.3,32286,4161,3512,317,101145,9964,18.4,4.1,78107,19047,33.3,5.8,83124,13257,26.3,5.1,129540,29088,10.3,3.5,91185,17697,7.9,3.1,117622,15005,4.0,2.6,163809,57392,13312,963,36099,2857,93.5,2.9,36753,2917,1.4,1.4,29178,5864,0.0,0.2,-,**,0.8,0.6,88286,110144,0.0,0.2,-,**,3.2,2.5,15444,5652,1.0,0.8,8772,6920,28.6,5.8,19667,2459,68.8,5.5,42742,3957,41.2,(X),(X),(X),44.3,(X),(X),(X),35.9,(X),(X),(X)
8600000US11947,11947,ZCTA5 11947,75,83,70804,76747,100.0,31.7,61212,85332,81.3,39.6,211,105,65.3,58.8,8239,3,0.0,31.7,-,**,0.0,31.7,-,**,65.3,58.8,6180,3,26,35,N,N,0.0,55.9,N,N,0.0,55.9,N,N,100.0,55.9,N,N,0.0,55.9,N,N,0.0,55.9,N,N,0.0,55.9,N,N,138,157,38614,20894,100.0,19.4,38614,20894,0.0,19.4,-,**,0.0,19.4,-,**,0.0,19.4,-,**,0.0,19.4,-,**,0.0,19.4,-,**,0.0,19.4,-,**,0.0,19.4,-,**,100.0,19.4,38614,20894,65.3,(X),(X),(X),0.0,(X),(X),(X),38.9,(X),(X),(X)
8600000US11948,11948,ZCTA5 11948,470,132,150261,44034,76.0,18.7,131606,49764,50.9,21.3,24645,13021,56.6,16.7,25004,11693,8.7,9.2,7190,2123,0.0,6.2,-,**,36.4,19.8,53440,21140,349,132,157388,59870,8.6,9.2,N,N,25.5,17.8,N,N,25.2,19.7,N,N,19.8,16.1,N,N,6.6,11.1,N,N,14.3,20.0,N,N,1315,514,54565,24452,100.0,2.3,54565,24452,0.0,2.3,-,**,0.0,2.3,-,**,0.0,2.3,-,**,0.0,2.3,-,**,0.0,2.3,-,**,0.0,2.3,-,**,2.3,3.6,N,N,97.7,3.6,55712,25315,56.6,(X),(X),(X),52.4,(X),(X),(X),34.7,(X),(X),(X)
8600000US11949,11949,ZCTA5 11949,4809,250,116541,8049,80.7,3.8,125432,9735,20.6,4.5,9142,5168,28.4,3.7,20390,1763,3.7,1.9,11200,3133,1.2,1.0,3816,5614,20.4,4.3,27896,5296,3677,244,135243,9514,8.7,2.6,53758,9671,27.4,5.9,93118,11903,38.2,6.7,184790,14256,8.3,4.0,100755,28456,14.1,4.3,155351,23720,3.3,2.3,126947,55508,14340,905,39546,2586,95.9,2.0,40420,2606,1.5,1.1,31992,20897,0.0,0.2,-,**,0.5,0.6,41541,31040,0.0,0.2,-,**,0.4,0.5,14149,2985,1.7,1.5,1771,1723,4.4,2.4,34414,10653,91.8,2.5,40610,2756,41.9,(X),(X),(X),43.5,(X),(X),(X),30.9,(X),(X),(X)
8600000US11950,11950,ZCTA5 11950,5177,258,77115,4916,81.1,4.9,82883,5242,9.4,2.4,3474,2012,23.8,4.6,15835,1671,8.7,3.8,10231,2182,6.0,2.8,3139,2184,12.0,3.1,25778,4362,4132,292,85437,5644,14.3,4.6,27840,9397,23.6,5.0,62597,8717,34.3,6.1,106534,12522,12.4,3.7,70991,9176,12.3,3.4,141907,12700,3.1,1.8,125794,41291,16969,1212,24138,1713,79.4,4.4,25826,2254,8.1,2.8,18293,6841,2.0,0.9,21539,14763,4.0,2.9,20561,6075,0.0,0.2,-,**,4.0,2.4,13724,3958,2.5,1.3,13961,8959,20.5,5.6,15068,4819,64.5,6.7,28228,2335,40.0,(X),(X),(X),38.8,(X),(X),(X),30.1,(X),(X),(X)
8600000US11951,11951,ZCTA5 11951,4488,293,73124,6182,81.3,4.0,76045,6677,7.8,2.4,10213,6982,26.2,4.9,14962,1626,8.9,4.3,9756,2886,6.6,3.2,1841,1152,13.8,3.2,24600,7142,3454,290,79967,7623,16.0,5.5,27199,6973,30.3,6.4,68529,18421,31.9,6.6,105066,9711,9.5,3.7,77052,13025,9.2,2.4,125810,15844,3.2,2.0,77228,19618,13401,581,25080,2424,82.2,6.1,27425,2714,12.3,4.4,11944,6101,0.0,0.2,-,**,1.2,1.5,23210,9263,0.0,0.2,-,**,0.3,0.5,52609,68405,4.0,3.7,15282,10037,16.9,5.0,18268,3198,67.6,5.7,29758,2870,50.7,(X),(X),(X),48.1,(X),(X),(X),33.2,(X),(X),(X)
8600000US11952,11952,ZCTA5 11952,1892,224,96106,17283,74.4,6.8,94016,22269,30.4,8.1,20413,8610,42.5,8.7,20588,3470,0.8,1.3,26973,11,0.0,1.6,-,**,21.6,7.8,41153,10163,1338,200,119321,20217,20.2,6.8,68329,23864,29.7,10.6,81509,25008,33.9,11.4,169233,49168,8.3,6.7,116644,40165,7.9,6.0,179853,53265,0.0,2.2,-,**,4518,545,41149,6358,94.1,5.2,43265,6731,1.7,2.7,N,N,2.5,3.9,N,N,0.8,0.9,N,N,0.0,0.7,-,**,0.0,0.7,-,**,0.9,1.4,N,N,3.0,4.0,10720,11682,93.6,5.2,43313,6768,26.3,(X),(X),(X),21.8,(X),(X),(X),18.0,(X),(X),(X)
8600000US11953,11953,ZCTA5 11953,5204,233,76663,4051,76.4,2.7,78993,4592,20.3,2.8,8474,2980,37.0,2.6,19436,1420,5.3,1.9,7940,1568,2.1,1.4,5177,2534,22.9,2.9,26677,4622,3205,243,86526,5652,14.5,3.1,53066,7012,38.6,5.2,64084,7006,29.3,4.7,110223,11025,9.5,3.6,109759,18884,6.3,2.4,140036,15464,1.8,1.3,142172,39696,12688,798,32179,1888,76.3,3.9,34789,2374,16.9,3.7,23532,3263,0.0,0.2,-,**,3.9,1.9,28817,10048,0.0,0.2,-,**,0.7,0.5,12286,11982,2.3,0.9,20459,9697,9.4,2.7,20226,5285,68.9,4.3,36045,2601,33.6,(X),(X),(X),36.5,(X),(X),(X),28.1,(X),(X),(X)
8600000US11954,11954,ZCTA5 11954,1742,211,92260,16154,67.6,7.9,91855,20757,40.0,8.2,32524,12588,46.6,8.2,17654,2386,1.7,1.9,15673,7303,1.0,1.5,624,15,25.6,7.1,29806,8574,980,174,100876,12738,18.1,8.0,75469,36080,30.5,8.8,90592,23125,35.0,8.8,112597,27024,10.3,7.3,100358,40022,6.1,4.9,160945,14049,0.0,3.0,-,**,3471,446,46953,8490,93.4,2.9,47179,8777,3.5,2.2,61240,28324,0.4,0.7,N,N,2.4,1.9,27987,11944,0.0,0.9,-,**,0.0,0.1,N,N,0.2,0.4,-,**,5.9,3.6,22095,9188,87.7,5.2,48760,9379,53.8,(X),(X),(X),52.2,(X),(X),(X),44.8,(X),(X),(X)
8600000US11955,11955,ZCTA5 11955,1383,215,77225,10210,74.3,7.6,73177,13083,30.9,8.8,14532,7010,36.6,9.0,21400,2352,2.6,3.0,18994,5102,0.0,2.1,-,**,22.1,7.2,39311,10895,814,172,91322,15869,12.0,6.5,N,N,47.7,12.5,N,N,34.0,12.8,N,N,0.0,3.6,N,N,4.7,5.0,N,N,1.6,2.6,N,N,2780,512,38675,6122,84.4,7.7,42221,7347,6.9,6.2,18814,8468,0.0,1.1,-,**,6.0,5.5,22408,11966,0.0,1.1,-,**,1.6,2.5,N,N,1.2,1.7,N,N,3.5,3.1,52967,29630,82.4,7.8,41446,7367,29.0,(X),(X),(X),33.4,(X),(X),(X),26.7,(X),(X),(X)
8600000US11956,11956,ZCTA5 11956,161,44,92058,19735,61.5,13.8,86423,24369,57.8,14.1,19390,9074,59.0,16.2,21104,3181,0.0,16.9,-,**,0.0,16.9,-,**,34.2,14.5,37800,17587,83,32,121783,28382,32.5,18.5,N,N,12.0,10.2,N,N,22.9,16.4,N,N,16.9,17.0,N,N,7.2,10.5,N,N,8.4,13.2,N,N,298,93,50586,9729,100.0,9.6,50586,9729,0.0,9.6,-,**,0.0,9.6,-,**,0.0,9.6,-,**,0.0,9.6,-,**,0.0,9.6,-,**,0.0,9.6,-,**,8.7,12.8,30319,4208,91.3,12.8,52523,10363,65.8,(X),(X),(X),75.9,(X),(X),(X),56.5,(X),(X),(X)
8600000US11957,11957,ZCTA5 11957,359,54,104500,16967,61.6,10.0,90798,24314,61.6,11.2,25230,10136,60.4,9.4,22480,2445,1.1,1.5,9725,46,0.0,8.0,-,**,56.0,10.0,28880,6209,210,45,127496,25063,19.0,8.9,N,N,37.1,13.3,N,N,25.7,10.2,N,N,1.9,2.7,N,N,8.6,7.4,N,N,7.6,10.7,N,N,713,130,54137,7347,99.6,1.3,54093,7322,0.3,0.9,N,N,0.0,4.1,-,**,0.1,0.4,N,N,0.0,4.1,-,**,0.0,4.1,-,**,0.0,4.1,-,**,2.1,3.4,23627,37040,97.5,3.7,54751,7604,33.1,(X),(X),(X),38.6,(X),(X),(X),24.5,(X),(X),(X)
8600000US11958,11958,ZCTA5 11958,207,73,165695,108060,41.1,18.1,60407,30751,69.1,19.4,115292,125391,75.4,16.5,15818,3051,0.0,13.5,-,**,0.0,13.5,-,**,44.0,21.2,111615,107696,104,48,279775,179986,18.3,18.8,N,N,20.2,21.0,N,N,24.0,24.4,N,N,18.3,21.3,N,N,19.2,19.9,N,N,0.0,24.7,N,N,366,134,93720,58942,100.0,7.9,93720,58942,0.0,7.9,-,**,0.0,7.9,-,**,0.0,7.9,-,**,0.0,7.9,-,**,0.0,7.9,-,**,0.0,7.9,-,**,0.0,7.9,-,**,100.0,7.9,93720,58942,58.9,(X),(X),(X),60.6,(X),(X),(X),44.9,(X),(X),(X)
8600000US11959,11959,ZCTA5 11959,398,95,127867,37265,75.9,10.1,124355,44015,40.2,12.3,24100,11874,49.2,12.8,19418,3982,1.0,1.9,7375,47,0.0,7.3,-,**,27.4,10.7,41984,14894,302,81,146060,45930,25.5,12.8,63043,27588,50.7,14.2,127076,29008,23.8,12.8,275185,145160,0.0,9.4,-,**,0.0,9.4,-,**,0.0,9.4,-,**,877,225,59117,15002,89.7,7.9,58281,16503,6.0,6.7,44104,37070,1.4,2.2,N,N,1.4,2.3,N,N,0.0,3.4,-,**,0.2,0.4,N,N,1.3,2.1,-,**,1.6,2.1,17193,48740,88.4,7.9,58873,16554,83.9,(X),(X),(X),89.1,(X),(X),(X),64.1,(X),(X),(X)
8600000US11960,11960,ZCTA5 11960,360,76,107388,18479,76.9,12.0,111352,17479,13.9,7.4,30282,20913,40.0,14.6,22801,2486,3.3,4.4,23408,10389,0.0,8.0,-,**,16.9,8.9,44225,19412,237,73,109364,17730,13.9,12.2,N,N,41.4,16.7,N,N,41.8,16.4,N,N,0.0,11.9,N,N,0.0,11.9,N,N,3.0,4.1,N,N,744,190,52117,8703,100.0,3.9,52117,8703,0.0,3.9,-,**,0.0,3.9,-,**,0.0,3.9,-,**,0.0,3.9,-,**,0.0,3.9,-,**,0.0,3.9,-,**,5.8,6.0,55537,32401,94.2,6.0,51907,9180,64.7,(X),(X),(X),67.1,(X),(X),(X),56.7,(X),(X),(X)
8600000US11961,11961,ZCTA5 11961,5156,292,78195,7840,57.3,3.0,97790,11992,32.9,3.8,6906,2384,52.2,3.2,19165,1185,1.9,1.1,9911,4299,2.7,1.7,2448,1244,32.0,4.4,26605,3764,3144,241,98113,10851,26.8,4.1,46585,8115,24.7,4.5,72752,9343,26.3,4.4,145492,31350,8.2,4.4,126388,60199,11.5,3.6,134391,22688,2.6,2.0,141644,31850,12041,912,34220,3860,91.4,3.0,35563,4153,5.2,2.4,15136,5827,0.1,0.1,N,N,1.9,1.5,43800,24508,0.0,0.2,-,**,0.1,0.2,N,N,1.3,0.9,7187,6159,5.3,2.7,17630,8900,86.6,4.5,36442,4143,34.0,(X),(X),(X),35.0,(X),(X),(X),27.9,(X),(X),(X)
8600000US11962,11962,ZCTA5 11962,178,91,242884,102162,62.9,21.6,286891,102174,62.9,23.0,69002,75793,47.2,25.5,26614,6066,2.2,3.7,1650,81,0.0,15.5,-,**,12.9,11.6,49091,26011,131,85,246595,125143,35.1,29.7,N,N,18.3,15.6,N,N,14.5,13.5,N,N,30.5,38.6,N,N,1.5,3.1,N,N,0.0,20.3,N,N,452,295,98375,47957,97.3,4.4,101058,49565,2.7,4.4,-,**,0.0,6.4,-,**,0.0,6.4,-,**,0.0,6.4,-,**,0.0,6.4,-,**,0.0,6.4,-,**,0.0,6.4,-,**,97.3,4.4,101058,49565,77.5,(X),(X),(X),86.3,(X),(X),(X),66.9,(X),(X),(X)
8600000US11963,11963,ZCTA5 11963,2856,252,143338,20939,80.5,4.6,133003,21714,40.3,7.2,48237,15455,30.7,5.2,21857,1713,1.1,0.9,14993,2809,0.7,0.8,19555,21878,22.0,5.0,39557,6944,1821,214,155376,21744,14.0,3.8,145773,45720,30.1,6.2,171649,58725,36.0,6.7,166099,29105,5.4,2.6,116490,45128,11.8,5.3,120587,41653,2.7,1.9,111229,38118,6811,845,60661,9928,91.1,4.4,63544,11220,2.9,2.1,58243,30254,0.0,0.4,-,**,3.4,3.3,17842,24249,0.0,0.4,-,**,1.3,1.5,8305,3166,1.3,1.3,28384,22762,16.8,8.8,19234,12687,75.9,8.7,72157,9978,42.1,(X),(X),(X),41.7,(X),(X),(X),33.6,(X),(X),(X)
8600000US11964,11964,ZCTA5 11964,812,143,144795,28425,77.3,9.3,138339,34603,39.5,11.4,33902,12933,35.1,11.3,28021,4505,2.0,2.5,4319,2439,1.1,1.8,3411,22,26.2,10.2,52945,16451,661,127,163164,33590,20.4,10.2,128919,37712,20.1,10.1,96284,33453,43.6,13.1,201844,49622,9.8,7.5,179245,167701,6.1,5.9,196498,96687,0.0,4.4,-,**,2048,353,56951,11856,96.3,3.0,58958,11854,1.3,1.9,N,N,0.0,1.5,-,**,0.0,1.5,-,**,0.0,1.5,-,**,0.0,1.5,-,**,2.4,2.5,N,N,8.6,9.5,72129,97398,89.0,9.7,56846,9775,48.2,(X),(X),(X),43.9,(X),(X),(X),34.2,(X),(X),(X)
8600000US11965,11965,ZCTA5 11965,251,96,126097,33974,63.7,22.4,114686,46767,51.4,21.9,48707,37071,59.4,22.3,25570,7263,0.0,11.3,-,**,0.0,11.3,-,**,39.4,20.1,32399,11761,168,78,141452,47103,31.0,24.2,N,N,35.1,22.7,N,N,15.5,17.0,N,N,18.5,25.6,N,N,0.0,16.3,N,N,0.0,16.3,N,N,621,306,50919,20219,98.7,1.4,51576,20751,0.3,0.6,N,N,0.0,4.7,-,**,1.0,1.2,283,611,0.0,4.7,-,**,0.0,4.7,-,**,0.0,4.7,-,**,0.0,4.7,-,**,98.7,1.4,51576,20751,45.0,(X),(X),(X),61.3,(X),(X),(X),35.3,(X),(X),(X)
8600000US11967,11967,ZCTA5 11967,8049,311,86994,5017,87.1,2.7,86315,5114,11.5,2.1,8027,3830,22.8,2.9,18649,1699,5.7,2.3,9725,1767,3.8,1.9,4261,3493,14.4,2.5,29454,5183,6632,334,90472,5658,10.0,2.6,37977,10101,27.4,4.2,58617,5021,30.8,4.1,106334,7197,9.9,2.8,83506,7818,13.4,2.7,141158,18254,8.5,2.7,125921,17262,27115,1344,26787,1282,81.0,4.0,28405,1386,8.9,2.7,18621,4644,0.2,0.3,26519,3396,4.0,2.0,31398,10815,0.0,0.1,-,**,2.9,1.4,25803,4480,3.0,2.2,2260,690,18.6,3.0,20660,2021,65.7,4.3,30403,1705,43.2,(X),(X),(X),43.9,(X),(X),(X),29.9,(X),(X),(X)
8600000US11968,11968,ZCTA5 11968,4185,273,139796,19218,75.5,4.0,131447,19165,37.8,4.7,57710,18283,39.2,4.1,21713,1647,3.1,1.3,8502,2065,0.8,0.6,5017,3995,21.7,3.8,38668,6983,2869,247,158676,23668,15.8,4.0,135757,57215,33.0,5.3,169994,52888,28.4,4.8,176180,32928,12.5,3.9,119133,29340,6.8,2.0,165820,50510,3.4,2.5,140237,23486,10718,649,55799,7172,82.4,4.0,60876,9072,7.7,3.3,24563,10591,2.0,1.1,17036,6288,3.9,1.6,63047,36671,0.0,0.3,-,**,2.7,1.9,21194,10711,1.3,0.8,28922,34266,11.6,3.4,16611,4497,73.3,4.6,66523,9889,40.9,(X),(X),(X),44.9,(X),(X),(X),33.4,(X),(X),(X)
